Processes: 410 total, 2 running, 408 sleeping, 1401 threads 
2018/10/10 12:34:45
Load Avg: 0.85, 0.82, 0.82 
CPU usage: 10.34% user, 20.68% sys, 68.96% idle 
SharedLibs: 246M resident, 61M data, 40M linkedit.
MemRegions: 65420 total, 1337M resident, 91M private, 1422M shared.
PhysMem: 8012M used (2210M wired), 179M unused.
VM: 1985G vsize, 1302M framework vsize, 2450971(0) swapins, 2752124(0) swapouts.
Networks: packets: 5612698/5892M in, 3672014/2386M out.
Disks: 2535795/38G read, 2289854/39G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS     COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
61942  diskmanagementd  0.0  00:00.26 3     1   45+    1960K+ 0B     1168K+ 61942 1     sleeping *0[1+]       0.00000 0.00000    0   6699+      205+    4283+      1545+      12864+     7834+      3817+      191+    105      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
61775  PowerChime       0.0  00:15.17 3     1   224+   10M+   0B     6728K+ 61775 1     sleeping *0[1+]       0.00000 0.00000    501 44857+     309+    149906+    49639+     2114040+   415271+    293913+    203+    15951    0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57526  MTLCompilerServi 0.0  00:00.22 2     2   21+    8576K+ 0B     8556K+ 57526 1     sleeping *0[4+]       0.00000 0.00000    501 6139+      443+    135+       50+        1277+      332+       431+       707+    7        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57522  VK Messenger Hel 0.0  01:03.89 21    1   160+   125M+  0B     58M+   57518 57518 sleeping *0[2+]       0.00000 0.00000    501 295517+    1891+   61811+     18805+     4760776+   600070+    268711+    2156+   9473     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57521  VK Messenger Hel 0.0  00:17.50 5     1   114+   91M+   0B     21M+   57518 57518 sleeping *0[1+]       0.00000 0.00000    501 116670+    1187+   127774+    48987+     2129969+   364789+    107450+    188+    6254     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57520  MacsFanControl   0.0  28:26.36 9     3   31435+ 67M+   0B     59M+   57520 1     sleeping *0[278+]     0.00000 0.00000    501 249488693+ 29992+  2125893+   968718+    11353609+  5180334+   2222082+   947+    100049   0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57518  VK Messenger     0.0  00:34.35 34    2   404+   46M+   0B     16M+   57518 1     sleeping  0[571+]     0.00000 0.00000    501 112596+    1293+   179204+    45297+     2974889+   514028+    274731+    2559+   6635     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57517  Magnet           0.0  00:07.27 3     1   201+   12M+   0B     6196K+ 57517 1     sleeping *0[759+]     0.00000 0.00000    501 15406+     463+    117027+    33045+     648060+    194064+    91152+     281+    3266     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57515  webinspectord    0.0  00:00.21 2     1   44+    2496K+ 0B     1948K+ 57515 1     sleeping *0[321+]     0.00000 0.00000    501 4484+      168+    2149+      506+       8867+      4031+      1909+      7+      6        0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57514  com.apple.WebKit 0.0  00:01.86 4     1   85+    4800K+ 0B     3560K+ 57514 1     sleeping *0[344+]     0.00000 0.00000    501 5578+      220+    12596+     6410+      221657+    57015+     31042+     1+      3190     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57513  com.apple.Safari 0.0  00:01.08 3     1   148+   4864K+ 0B     2924K+ 57513 1     sleeping  0[451+]     0.00000 0.00000    501 9849+      271+    7271+      2982+      128931+    26507+     14785+     12+     982      0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57511  com.apple.WebKit 0.0  00:12.81 4     1   121+   125M+  0B     18M+   57511 1     sleeping  0[4473+]    0.00000 0.00000    501 127119+    432+    52605+     25795+     639832+    152116+    82401+     339+    3017     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57510  com.apple.WebKit 0.0  00:22.36 5     1   117+   27M+   0B     19M+   57510 1     sleeping *0[344+]     0.00000 0.00000    501 65441+     265+    48048+     23701+     1155650+   201483+    234810+    11394+  8372     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57504  CleanMyMac X Men 0.0  00:17.52 3     1   206+   22M+   0B     12M+   57504 1     sleeping *0[2963+]    0.00000 0.00000    501 74256+     825+    68047+     27114+     991480+    202459+    83876+     4429+   5781     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57502  Safari           0.0  03:42.94 8     2   594+   85M+   0B     24M+   57502 1     sleeping  0[1506+]    0.00000 0.00000    501 353097+    1030+   1292365+   479679+    16918126+  3556920+   1474545+   1387+   10632    0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57501  Telegram         0.0  02:01.60 15    5   1282+  349M+  16K+   185M+  57501 1     sleeping  0[674+]     0.00000 0.00000    501 2393614+   2822+   459333+    98802+     4062877+   973926+    641555+    7239+   7663     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57499  Preview          0.0  00:37.46 4     2   374+   179M+  3500K+ 71M+   57499 1     sleeping *0[541+]     0.00000 0.00000    501 291824+    632+    215090+    46345+     1845398+   395923+    235717+    1729+   3786     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
57487  com.apple.Commer 0.0  00:00.11 2     2   60+    2008K+ 0B     1832K+ 57487 1     sleeping *0[7+]       0.00000 0.00000    501 3018+      154+    733+       694+       3155+      1562+      1407+      1+      29       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
53458  MTLCompilerServi 0.0  00:00.27 2     2   24+    9828K+ 0B     9800K+ 53458 1     sleeping *0[8+]       0.00000 0.00000    501 7792+      444+    170+       66+        1823+      390+       679+       398+    10       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
51789  mobileactivation 0.0  00:00.05 2     1   50+    896K+  0B     864K+  51789 1     sleeping  0[0]        0.00000 0.00000    501 3186+      140+    204+       131+       1656+      577+       580+       45+     18       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
48381  XprotectService  0.0  00:00.23 2     2   96+    10M+   0B     9480K+ 48381 1     sleeping *0[25+]      0.00000 0.00000    501 9884+      188+    547+       250+       4208+      1071+      1446+      50+     38       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
44857  MTLCompilerServi 0.0  00:00.08 2     2   24+    5836K+ 0B     5816K+ 44857 1     sleeping *0[2+]       0.00000 0.00000    501 5724+      442+    135+       58+        1349+      350+       404+       349+    10       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
43912  CoreServicesUIAg 0.0  00:08.95 3     1   327+   15M+   0B     8132K+ 43912 1     sleeping *0[1+]       0.00000 0.00000    501 29311+     342+    50403+     19988+     1205083+   182760+    102809+    62+     7590     0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
40207  secinitd         0.0  00:00.70 2     2   38+    4080K+ 0B     3888K+ 40207 1     sleeping  0[0]        0.00000 0.00000    0   11379+     185+    428+       4484+      13041+     5064+      9298+      0       197      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
40206  com.apple.geod   0.0  00:07.82 4     1   58+    8700K+ 0B     4668K+ 40206 1     sleeping *0[54+]      0.00000 0.00000    0   56164+     310+    6470+      7090+      196629+    20891+     72467+     1806+   21555    0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
37822  com.apple.BKAgen 0.0  00:00.14 2     1   50+    1884K+ 0B     1556K+ 37822 1     sleeping *0[4+]       0.00000 0.00000    501 6490+      187+    412+       279+       3907+      1196+      1264+      66+     41       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
37821  fpsd             0.0  00:00.48 2     1   38+    1132K+ 0B     940K+  37821 1     sleeping *0[1791+]    0.00000 0.00000    265 6648+      152+    11061+     2135+      47799+     18849+     5138+      79+     20       0.0   0      0      _fpsd              N/A    N/A   N/A   N/A   N/A   N/A  
36655  distnoted        0.0  00:00.16 2     1   31+    2008K+ 0B     1648K+ 36655 1     sleeping *0[1+]       0.00000 0.00000    205 2475+      95+     2067+      1499+      5032+      3172+      2183+      2+      25       0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
36627  captiveagent     0.0  00:00.61 4     1   44+    2520K+ 0B     2320K+ 36627 1     sleeping *0[5+]       0.00000 0.00000    258 10537+     151+    836+       4684+      17576+     6733+      9708+      69+     192      0.0   0      0      _captiveagent      N/A    N/A   N/A   N/A   N/A   N/A  
