Processes: 410 total, 2 running, 408 sleeping, 1401 threads 
2018/10/10 12:34:45
Load Avg: 0.85, 0.82, 0.82 
CPU usage: 10.34% user, 20.68% sys, 68.96% idle 
SharedLibs: 246M resident, 61M data, 40M linkedit.
MemRegions: 65420 total, 1337M resident, 91M private, 1422M shared.
PhysMem: 8012M used (2210M wired), 179M unused.
VM: 1985G vsize, 1302M framework vsize, 2450971(0) swapins, 2752124(0) swapouts.
Networks: packets: 5612698/5892M in, 3672014/2386M out.
Disks: 2535795/38G read, 2289854/39G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS     COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
335    NotificationCent 0.0  00:52.42 3     1   438    70M    0B     51M    335   1     sleeping *0[5868]     0.00000 0.00000    501 275150     678     215967     94940      4989478    675889     400142     3664    24179     0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
334    networkservicepr 0.0  00:00.27 2     1   58     3104K  0B     2384K  334   1     sleeping *0[1]        0.00000 0.00000    501 7791       206     1087       725        11405      3251       2800       183     132       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
333    ControlStrip     0.0  01:12.71 5     3   345    39M    4096B  13M    333   1     sleeping *0[10714]    0.00000 0.00000    501 255058     450     709648     247788     4115487    1056534    912774     993     22482     0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
332    usernoted        0.0  00:34.25 2     1   145    10M    0B     6768K  332   1     sleeping *0[1]        0.00000 0.00000    501 126148     889     54412      19231      478160     61164      125284     944     1566      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
331    rapportd         0.0  00:12.35 2     1   125    4320K  0B     2176K  331   1     sleeping *0[1]        0.00000 0.00000    501 21868      271     62310      9064       495955     298722     221842     1221    5439      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
330    routined         0.0  00:18.89 3     1   157    16M    128K   9000K  330   1     sleeping  0[284]      0.00000 0.00000    501 142252     485     29284      8180       348160     88166      89187      10538   3858      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
329    ProtectedCloudKe 0.0  00:00.36 2     1   125    2452K  0B     1588K  329   1     sleeping  0[48]       0.00000 0.00000    501 12954      196     2141       1160       11430      4538       4084       126     133       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
328    ContactsAccounts 0.0  00:01.66 2     1   116    1948K  0B     1908K  328   1     sleeping  0[141]      0.00000 0.00000    501 20485      168     8700       3503       28216      18939      14313      74      176       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
327    IMDPersistenceAg 0.0  01:15.01 2     1   101    13M    6784K  5508K  327   1     sleeping  0[1124]     0.00000 0.00000    501 228496     333     53949      17926      9395877    537414     225860     482     1452      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
326    com.apple.Dictio 0.0  00:00.38 2     2   33     2936K  0B     2772K  326   1     sleeping  0[7]        0.00000 0.00000    501 7994       143     5414       1377       11473      11051      7562       13      90        0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
325    imagent          0.0  00:11.33 2     1   165    15M    0B     10M    325   1     sleeping *0[1]        0.00000 0.00000    501 58998      659     71534      24476      353646     156049     122727     1980    1448      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
324    nsurlsessiond    2.5  00:54.19 8     5   136+   8564K  0B     3652K  324   1     sleeping *227+[1112]  0.38945 0.43371    501 62581+     244     125166+    49727+     1354785+   259322+    530011+    453     27206+    2.5   37450234  52132149  maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
323    tccd             0.0  00:02.78 2     1   56     5836K  0B     5124K  323   1     sleeping  0[711]      0.00000 0.00000    501 31062      203     15004      10846      80997      26530      25856      11      270       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
322    accountsd        0.1  00:33.70 4     2   253    27M    64K    22M    322   1     sleeping *0[9353+]    0.00000 0.13266    501 124828+    766     123124+    31303+     561189+    364302+    239349+    2194    23326     0.1   4378929   5335569   maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
320    identityservices 0.0  01:25.63 6     1   231    20M    124K   15M    320   1     sleeping *0[1]        0.00000 0.00000    501 99921      1109    199262     60569      3187102    432389     888792     2129    2305      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
318    callservicesd    0.0  00:07.57 2     1   223    11M    0B     7840K  318   1     sleeping  0[899]      0.00000 0.00000    501 54952      510     38869      24451      276244     103994     74816      2451    788       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
317    WirelessRadioMan 0.0  00:01.40 2     1   52     1820K  0B     732K   317   1     sleeping *0[1]        0.00000 0.00000    0   12193      194     4157       2516       68004      7609       11542      332     450       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
316    cloudd           5.1  02:22.66 14    6   755-   31M+   176K-  17M    316   1     sleeping *4678+[1]    0.03541 4.69605    501 205072+    291     309236+    99621+     3550038+   668807+    1093291+   3810    30884+    5.2   239962316 129191644 maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
315    secd             0.0  00:34.91 2     2   191    12M    64K    7396K  315   1     sleeping *0[1]        0.00000 0.00000    501 401431     92486   132725     35971      463462     399004     296154     1086    483       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
314    secinitd         0.0  00:44.41 2     2   49     14M    0B     11M    314   1     sleeping  0[2879]     0.00000 0.00000    501 77680      194     35629      21425      1660995    63364      119749     43      899       0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
313    languageassetd   0.0  00:00.64 2     1   41     8568K  0B     8112K  313   1     sleeping *0[1]        0.00000 0.00000    501 6730       103     7408       1588       16229      14806      11472      19      80        0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
310    trustd           0.0  01:13.91 3     3   183    15M    320K   10M    310   1     sleeping  0[19562]    0.00000 0.00000    501 153345     273     135261     32706      665128     326175     294445     231     5442      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
309    lsd              0.0  00:22.92 2     1   437    11M    0B     6408K  309   1     sleeping  0[16069]    0.00000 0.00000    501 132038     16174   147461     60824      644404     166703     153564     1394    2392      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
308    CommCenter       0.0  00:33.24 9     4   240    6388K  0B     3600K  308   1     sleeping *0[1]        0.00000 0.00000    501 25184      454     127830     21074      1458069    186818     524923     4133    67735     0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
305    distnoted        0.3  00:16.03 2     1   352    5248K  0B     2076K  305   1     sleeping *0[1]        0.00000 0.36094    501 15062      95      197171+    77799+     177595+    189695+    118353+    14      35        0.3   21074937  13828309  maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
303    UserEventAgent   0.0  01:56.76 4     2   830    4532K  0B     1464K  303   1     sleeping *0[1]        0.00000 0.00000    501 57524      276     141240     58529      12109115   2415089    1776747    224     3333      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
302    cfprefsd         0.0  00:27.43 2     2   454    4004K  144K   1988K  302   1     sleeping  0[21046]    0.00000 0.00000    501 125500     95      198677     62449      709871     282613     162784     9       3864      0.0   0         0         maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
300    securityd_servic 0.0  00:00.04 2     2   27     2032K  0B     1872K  300   1     sleeping *0[1]        0.00000 0.00000    0   2742       136     192        128        1253       319        477        12      20        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
299    coreauthd        0.0  00:01.55 2     1   94     9888K  0B     8456K  299   1     sleeping  0[341]      0.00000 0.00000    0   49588      3383    7926       7482       27460      15752      16967      283     201       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
296    sharedfilelistd  0.0  00:00.44 2     2   45     1944K  0B     1796K  296   1     sleeping  0[1]        0.00000 0.00000    0   12688      170     529        5234       16346      5972       10672      29      211       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
293    com.apple.Perfor 0.0  00:11.98 2     2   79     5988K  0B     4404K  293   1     sleeping  0[20421]    0.00000 0.00000    0   19624      131     67895      23571      211480     46791      82562      13      1142      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
292    com.apple.cmio.r 0.0  00:00.10 2     2   22     656K   0B     492K   292   1     sleeping  0[4]        0.00000 0.00000    0   3902       94      242        498        2448       707        1414       5       86        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
291    distnoted        0.0  00:00.20 2     1   33     2052K  0B     1696K  291   1     sleeping *0[1]        0.00000 0.00000    0   2647       95      1888       1820       6020       3821       3220       0       20        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
289    ViewBridgeAuxili 0.0  00:26.69 2     1   61     2244K  0B     1456K  289   1     sleeping  0[70609]    0.00000 0.00000    0   10830      230     698544     243255     2410556    946074     362056     0       17775     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
288    com.apple.Accoun 0.0  00:00.11 2     2   18     1148K  0B     1084K  288   1     sleeping  0[88]       0.00000 0.00000    0   5453       137     1047       463        2771       1394       1159       18      56        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
282    systemstats      0.0  00:01.79 2     1   73     1572K  0B     1328K  57    57    sleeping  0[0]        0.00000 0.00000    0   21729      183     31225      7127       39075      53843      70097      257     1264      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
280    EmbeddedOSInstal 0.0  00:00.20 2     2   43     1980K  0B     1660K  280   1     sleeping  0[3]        0.00000 0.00000    0   8512       182     455        623        3247       1153       2003       84      108       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
278    bootinstalld     0.0  00:00.03 2     1   24     2360K  0B     2216K  278   1     sleeping *0[1]        0.00000 0.00000    0   3930       164     64         74         1473       226        387        5       18        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
277    MTLCompilerServi 0.0  00:00.80 2     2   21     9240K  0B     9216K  277   1     sleeping  0[64]       0.00000 0.00000    0   16440      439     611        219        4391       935        1428       21      27        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
275    com.apple.CodeSi 0.0  00:01.84 2     2   21     3624K  0B     3116K  275   1     sleeping  0[1407]     0.00000 0.00000    0   9147       139     13531      6049       108732     12826      12900      4       178       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
274    sysmond          0.0  00:21.63 2     2   19     1564K  0B     1112K  274   1     sleeping  0[4]        0.00000 0.00000    0   17552      132     923217     419335     756167     856948     210474     387     235       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
270    MTLCompilerServi 0.0  00:04.10 2     2   21     24M    0B     24M    270   1     sleeping  0[403]      0.00000 0.00000    88  44465      446     2817       790        14401      3737       5100       5209    36        0.0   0         0         _windowserver      N/A    N/A   N/A   N/A   N/A   N/A  
263    colorsyncd       0.0  00:00.03 2     1   27     2084K  0B     2056K  263   1     sleeping  0[53]       0.00000 0.00000    0   2850       130     275        130        1638       361        640        0       19        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
262    colorsync.displa 0.0  00:00.14 2     1   55     1092K  0B     932K   262   1     sleeping  0[6]        0.00000 0.00000    0   4900       132     638        607        6147       2187       1759       13      44        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
261    CVMServer        0.0  00:00.47 2     2   47     2288K  0B     1660K  261   1     sleeping *0[1]        0.00000 0.00000    0   5378       141     7170       2544       41270      7198       3792       24      140       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
260    TouchBarServer   0.0  06:48.71 7     4   447    19M    512K   7192K  260   1     sleeping *0[1]        0.00000 0.00000    0   174175     11684   3487225+   1960906+   25323562+  6020762+   4288225+   1508    169976    0.0   201011    612634    root               N/A    N/A   N/A   N/A   N/A   N/A  
259    com.apple.audio. 0.0  00:00.02 2     2   14     876K   0B     844K   259   1     sleeping  0[2]        0.00000 0.00000    202 3755       148     96         84         1343       256        366        2       15        0.0   0         0         _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
258    AudioComponentRe 0.0  00:00.18 2     1   38     3476K  0B     3236K  258   1     sleeping  0[6]        0.00000 0.00000    0   7398       146     580        603        6907       2025       1525       31      45        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
256    secinitd         0.0  00:00.91 2     2   39     4732K  0B     4564K  256   1     sleeping  0[4]        0.00000 0.00000    0   13324      184     474        5227       15638      5804       11890      28      217       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
253    mds_stores       0.0  05:07.92 6     4   83     74M    36K    22M    253   1     sleeping *0[1]        0.00881 0.02416    0   3355017+   136357  621264+    194402+    2813872+   861566+    1149919+   184736  15215+    0.1   602994    1716334   root               N/A    N/A   N/A   N/A   N/A   N/A  
252    tccd             0.0  00:05.94 2     1   47     7500K  0B     5384K  252   1     sleeping  0[851]      0.00000 0.00000    0   27604      203     13525      10431      187329     31121      35927      183     330       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
248    thermald         0.0  00:00.31 2     1   31     804K   0B     596K   248   1     sleeping *0[1]        0.00000 0.00000    0   4144       134     1416       962        4458       2789       3298       13      30        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
243    biokitaggdd      0.0  00:00.32 2     1   33     1264K  0B     1136K  243   1     sleeping  0[0]        0.00000 0.00000    0   9086       140     1973       1459       9379       3660       3482       136     63        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
242    iconservicesagen 0.0  00:01.40 2     2   43     10M    0B     10M    242   1     sleeping  0[2]        0.00000 0.00000    0   45688      174     1520       953        50224      6292       7727       1455    117       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
240    watchdogd        0.0  00:01.30 4     1   38     752K   0B     452K   240   1     sleeping *0[1]        0.00000 0.00000    0   3104       129     13312      5109       19404      10757      23272      5       5866      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
239    eoshostd         0.0  00:00.29 2     1   86     1076K  0B     588K   239   1     sleeping *0[1]        0.00000 0.00000    0   4732       134     5380       2862       23711      9865       3780       19      61        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
236    adid             0.0  00:04.63 2     1   36     3188K  0B     464K   236   1     sleeping *0[4791+]    0.00000 0.03333    265 26076+     144     40060+     6648+      320098+    69601+     17623+     921     48        0.0   902124    1530024   _fpsd              N/A    N/A   N/A   N/A   N/A   N/A  
235    akd              0.0  00:00.36 2     1   43     1860K  0B     1708K  235   1     sleeping  0[1]        0.00000 0.00000    0   10627      201     2081       1112       14914      4877       4284       244     119       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
223    nfcd             0.0  00:02.18 2     1   64     1980K  0B     1240K  223   1     sleeping *0[1]        0.00000 0.00000    260 11569      205     5811       2472       50879      48784      46798      881     443       0.0   0         0         _applepay          N/A    N/A   N/A   N/A   N/A   N/A  
213    awdd             0.0  00:08.85 2     1   125    7596K  64K    5768K  213   1     sleeping  0[2552]     0.00000 0.00000    0   32456      224     39527      18972      256105     71530      82556      1911    5026      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
211    airportd         0.0  02:44.31 6     4   147    26M    0B     10M    211   1     sleeping  0[42616]    0.00000 0.00000    0   450815     1901    1408879    588317     4046877    1260497    1187968    1777    19201     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
207    analyticsd       0.0  00:10.44 2     1   76     5272K  0B     4272K  207   1     sleeping  0[4]        0.00000 0.00000    263 33543      222     37154      13618      173140     52358      36997      2233    2108      0.0   0         0         _analyticsd        N/A    N/A   N/A   N/A   N/A   N/A  
206    nsurlstoraged    0.0  00:01.06 2     1   39     2088K  0B     1184K  206   1     sleeping  0[19]       0.00000 0.00000    243 13847      150     1221       772        8222       3099       3519       60      46        0.0   0         0         _nsurlstoraged     N/A    N/A   N/A   N/A   N/A   N/A  
203    findmydeviced    0.0  00:03.39 3     1   99     4116K  0B     3304K  203   1     sleeping  0[7]        0.00000 0.00000    0   26665      293     2300       5854       88803      9786       59583      1307    22629     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
202    symptomsd        0.0  01:05.13 3     2   137    8764K  64K    4364K  202   1     sleeping  0[2202]     0.01583 0.00000    24  153797     200     112595+    72124      1380968+   286913+    487217+    1638    8475      0.0   369922    1221459   _networkd          N/A    N/A   N/A   N/A   N/A   N/A  
201    mDNSResponderHel 0.0  00:12.10 3     2   127    1376K  0B     920K   201   1     sleeping *0[1]        0.00000 0.00000    0   4793       138     358116+    179345+    182285+    179909+    196664+    17      142114+   0.0   21097     81608     root               N/A    N/A   N/A   N/A   N/A   N/A  
200    contextstored    0.0  00:41.55 3     2   115    6212K  384K   2316K  200   1     sleeping  0[9857]     0.00000 0.00000    0   116848     204     290097+    98889+     1622246+   626409+    512789+    723     43491     0.0   134413    470220    root               N/A    N/A   N/A   N/A   N/A   N/A  
199    coresymbolicatio 0.0  00:01.86 2     2   24     2276K  0B     1684K  199   1     sleeping  0[7307]     0.00000 0.00000    0   23257      169     45225      16092      71604      48002      22310      5947    499       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
197    rtcreportingd    0.0  00:04.10 3     1   50     6856K  0B     3744K  197   1     sleeping *0[1]        0.00000 0.00000    0   19158      389     2345       6500       98268      10234      60934      444     23815     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
193    suhelperd        0.0  00:00.47 2     1   59     10M    0B     10M    193   1     sleeping  0[127]      0.00000 0.00000    0   12553      194     1754       2188       10504      4650       7341       65      112       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
192    softwareupdated  0.0  04:12.83 3     1   174    45M    0B     44M    192   1     sleeping *13[124]     0.00000 0.00000    200 749378     2013    63765      36429      7976753    182379     3702245    581661  29652     0.0   0         0         _softwareupdate    N/A    N/A   N/A   N/A   N/A   N/A  
188    xartstorageremot 0.0  00:00.55 2     2   17     1264K  0B     984K   188   1     sleeping *0[1]        0.00000 0.00000    0   6143       147     317        232        12507      738        5569       95      93        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
187    biometrickitd    0.0  00:04.52 2     1   88     3644K  0B     2052K  187   1     sleeping *0[1]        0.00000 0.00000    0   19255      289     27099      12336      179380     58498      55508      567     4968      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
186    VDCAssistant     0.0  01:34.38 3     2   100    15M    0B     14M    186   1     sleeping *0[1]        0.00000 0.00000    262 18625      214     2729456    1415423    1573635    1623689    813368     397     101289    0.0   0         0         _cmiodalassistants N/A    N/A   N/A   N/A   N/A   N/A  
183    usbd             0.0  00:10.25 2     1   55     2408K  0B     2076K  183   1     sleeping  0[0]        0.00000 0.00000    0   10567      157     319181     193249     534954     562880     87476      260     76        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
182    apfsd            0.0  00:00.20 2     1   45     1048K  0B     404K   182   1     sleeping *0[1]        0.00000 0.00000    0   4708       137     3759       758        8831       5664       3961       35      58        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
181    com.apple.ifdrea 0.0  00:00.05 2     1   29     1080K  0B     1052K  181   1     sleeping  0[23]       0.00000 0.00000    0   4307       148     675        345        1316       899        520        27      22        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
180    tailspind        0.0  00:00.18 2     2   39     2204K  0B     1936K  180   1     sleeping  0[2]        0.00000 0.00000    0   6827       158     272        510        2724       789        1751       155     85        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
179    nsurlsessiond    0.0  00:07.09 2     1   90     5360K  0B     4720K  179   1     sleeping  0[9023]     0.00000 0.00000    242 35614      245     6489       5479       140343     20266      74136      289     23240     0.0   0         0         _nsurlsessiond     N/A    N/A   N/A   N/A   N/A   N/A  
175    mobileassetd     0.0  00:17.71 2     1   63     42M    0B     36M    175   1     sleeping  0[5239]     0.00000 0.00000    0   132301     1364    50984      23410      219901     63056      108435     307     908       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
170    mDNSResponder    0.0  01:13.73 5     1   177    4712K  0B     2428K  170   1     sleeping *0[1]        0.00000 0.00000    65  21158      189     57810      21501      3678495    89086      522285     738     130238    0.0   0         0         _mdnsresponder     N/A    N/A   N/A   N/A   N/A   N/A  
162    WindowServer     0.0  01:45:57 10    3   2168   684M   859M+  297M   162   1     sleeping *0[1]        0.00000 0.00000    88  6867629    160252  91825445+  43712432+  192257504+ 102756424+ 42226689+  6506    3077755+  0.1   471256    1568209   _windowserver      N/A    N/A   N/A   N/A   N/A   N/A  
155    nehelper         0.0  00:01.60 3     2   62     3352K  0B     2296K  155   1     sleeping  0[637]      0.00000 0.00000    0   36881      172     10433      3959       48585      14972      14358      299     233       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
152    aslmanager       0.0  00:02.91 2     2   23     2276K  0B     1200K  152   1     sleeping *0[1]        0.00000 0.00000    0   9482       133     4577       2646       116905     7413       27870      13      469       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
151    lsd              0.0  00:11.28 2     1   129    10M    0B     7876K  151   1     sleeping *2[195]      0.00000 0.00000    0   76603      6853    41983      17321      374144     45745      78866      1737    464       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
149    coreaudiod       0.0  08:40.49 5     1   276    5320K  0B     3304K  149   1     sleeping *0[1]        0.00000 0.00000    202 202181     256     2499559    577812     5273920    3736145    2269649    1187    231845    0.0   0         0         _coreaudiod        N/A    N/A   N/A   N/A   N/A   N/A  
148    ctkd             0.0  00:00.03 2     2   21     2188K  0B     2128K  148   1     sleeping  0[4]        0.00000 0.00000    259 4064       154     83         84         831        224        406        24      24        0.0   0         0         _ctkd              N/A    N/A   N/A   N/A   N/A   N/A  
147    trustd           0.0  00:23.43 2     2   95     8184K  576K   5372K  147   1     sleeping  0[5618]     0.00000 0.00000    0   53711      223     54241      14600      385725     139839     106304     1134    2748      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
146    syspolicyd       0.0  00:09.92 2     1   76     12M    64K    7020K  146   1     sleeping  0[1511]     0.00000 0.00000    0   27392      305     12428      11422      427035     32760      120584     162     222       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
125    com.apple.ctkpcs 0.0  00:00.03 2     2   23     896K   0B     848K   125   1     sleeping  0[4]        0.00000 0.00000    0   3842       149     97         87         722        232        436        98      24        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
116    coreservicesd    0.0  00:14.14 4     1   301    7520K  0B     5368K  116   1     sleeping *0[1]        0.00000 0.00000    0   22849      204     274093     72499      1064329+   402438     201846+    169     15335+    0.1   575459    1154592   root               N/A    N/A   N/A   N/A   N/A   N/A  
115    authd            0.0  00:02.79 3     3   101    6536K  0B     3832K  115   1     sleeping  0[859]      0.00000 0.00000    0   24625      181     12769      12477      69662      30786      37405      249     728       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
113    cfprefsd         0.0  00:18.00 2     2   676    2180K  0B     640K   113   1     sleeping  0[16811]    0.00000 0.00000    0   60149      96      168457     62480      483104     217331     152182     104     3421      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
109    distnoted        0.0  00:01.96 2     1   158    2368K  0B     1584K  109   1     sleeping *0[1]        0.00000 0.00000    241 5473       95      30799      9512       26180      29760      12843      27      16        0.0   0         0         _distnote          N/A    N/A   N/A   N/A   N/A   N/A  
108    amfid            0.0  00:02.39 2     2   38     9912K  0B     9240K  108   1     sleeping *0[1]        0.00000 0.00000    0   12001      176     1677       6265       44547      8646       20673      168     223       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
107    notifyd          0.0  04:13.43 4     4   419    2020K  0B     232K   107   1     sleeping *0[1]        0.00000 0.00000    0   3751       78      1928170+   1873815+   4153906+   2701413+   3413907+   19      25        0.0   924257    3493208   root               N/A    N/A   N/A   N/A   N/A   N/A  
106    AirPlayXPCHelper 0.0  00:06.02 2     2   119    4180K  0B     2980K  106   1     sleeping *0[1]        0.00000 0.00000    0   19798      214     63034      31399      141488     61848      113511     1322    12359     0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
105    corebrightnessd  0.0  00:15.80 2     1   103    9732K  0B     8536K  105   1     sleeping *0[1]        0.00000 0.00000    0   27945      164     199462     31763      223548     545314     212870     411     5641      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
103    hidd             0.0  15:38.69 6     1   341    3676K  0B     1244K  103   1     sleeping *0[1]        0.00000 0.00000    261 452827     201     8785203    5363148    27218893   12017446   8436327    1530    44007     0.0   0         0         _hidd              N/A    N/A   N/A   N/A   N/A   N/A  
102    bluetoothd       0.0  05:07.23 3     1   162    3000K  0B     1212K  102   1     sleeping *0[1]        0.00000 0.00000    0   17274      235     4579469    2968368    14729768   5123307    1738952    1591    1981      0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
100    KernelEventAgent 0.0  00:00.02 3     1   25     740K   0B     568K   100   1     sleeping *0[1]        0.00000 0.00000    0   2334       130     84         72         1484       342        383        9       16        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
99     revisiond        0.0  00:03.30 4     2   75     19M    128K   17M    99    1     sleeping  0[837]      0.00000 0.00000    0   38316      175     12353      3539       65487      27564      24984      679     295       0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
98     logind           0.0  00:00.19 2     1   77     1160K  0B     500K   98    1     sleeping *0[1]        0.00000 0.00000    0   7651       513     1642       816        6187       2891       2432       135     57        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
97     loginwindow      0.0  00:46.38 2     1   554    36M    0B     17M    97    1     sleeping *0[3426]     0.00000 0.00000    501 217307     2363    288989+    159557+    4691264+   805900+    346912+    5427    23539+    0.1   411931    1225735   maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
93     dasd             0.0  00:21.03 4     3   69     3992K  0B     1720K  93    1     sleeping *0[7012+]    0.00000 0.06412    0   58235      231     59902+     11339+     229286+    79282+     139111+    798     20157     0.0   1134389   2211868   root               N/A    N/A   N/A   N/A   N/A   N/A  
92     displaypolicyd   0.0  00:00.71 6     1   49     1700K  0B     1144K  92    1     sleeping *0[1]        0.00000 0.00000    244 5991       158     3340       1877       38663      6290       33015      84      2157      0.0   0         0         _displaypolicyd    N/A    N/A   N/A   N/A   N/A   N/A  
91     autofsd          0.0  00:00.03 2     2   24     780K   0B     616K   91    1     sleeping *0[1]        0.00000 0.00000    0   2460       140     73         83         750        219        507        17      19        0.0   0         0         root               N/A    N/A   N/A   N/A   N/A   N/A  
89     locationd        0.0  01:40.53 3     2   182    10M    256K   3948K  89    1     sleeping  0[20174]    0.00000 0.00924    205 249891     297     307082+    105840+    2537860+   834314+    453305+    16013   35005     0.0   85409     278844    _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
